_symbol,_timestamp,_ask_exchange,_ask_price,_ask_size,_bid_exchange,_bid_price,_bid_size,_conditions,_tape,market_price
GOOG,2023-01-04 00:00:58.071694+00:00,T,89.78,2.0,P,89.7,9.0,['R'],C,89.74000000000001
GOOG,2023-01-04 00:00:58.071747+00:00,T,89.75,1.0,P,89.7,9.0,['R'],C,89.725
GOOG,2023-01-04 00:00:58.079775+00:00,T,89.78,2.0,P,89.7,9.0,['R'],C,89.74000000000001
GOOG,2023-01-04 00:00:58.079817+00:00,T,89.75,1.0,P,89.7,9.0,['R'],C,89.725
GOOG,2023-01-04 00:00:58.083489+00:00,T,89.78,2.0,P,89.7,9.0,['R'],C,89.74000000000001
GOOG,2023-01-04 00:00:58.087282+00:00,T,89.78,1.0,P,89.7,9.0,['R'],C,89.74000000000001
GOOG,2023-01-04 00:00:58.091137+00:00,T,89.8,2.0,P,89.7,9.0,['R'],C,89.75
GOOG,2023-01-04 00:01:05.131351+00:00,T,89.8,1.0,P,89.7,9.0,['R'],C,89.75
GOOG,2023-01-04 00:01:06.970922+00:00,T,89.8,1.0,C,89.72,1.0,['R'],C,89.75999999999999
GOOG,2023-01-04 00:02:42.817820+00:00,T,89.83,1.0,C,89.72,1.0,['R'],C,89.775
GOOG,2023-01-04 00:02:42.817885+00:00,T,89.8,1.0,C,89.72,1.0,['R'],C,89.75999999999999
GOOG,2023-01-04 00:02:42.818667+00:00,T,89.83,1.0,C,89.72,1.0,['R'],C,89.775
GOOG,2023-01-04 00:02:42.818706+00:00,T,89.8,1.0,C,89.72,1.0,['R'],C,89.75999999999999
GOOG,2023-01-04 00:02:42.820967+00:00,T,89.83,1.0,C,89.72,1.0,['R'],C,89.775
GOOG,2023-01-04 00:02:42.821008+00:00,T,89.8,1.0,C,89.72,1.0,['R'],C,89.75999999999999
GOOG,2023-01-04 00:02:52.639236+00:00,T,89.83,1.0,C,89.72,1.0,['R'],C,89.775
GOOG,2023-01-04 00:02:52.639280+00:00,T,89.8,1.0,C,89.72,1.0,['R'],C,89.75999999999999
GOOG,2023-01-04 00:03:01.655234+00:00,T,89.83,1.0,C,89.72,1.0,['R'],C,89.775
GOOG,2023-01-04 00:03:17.645629+00:00,P,89.85,4.0,C,89.72,1.0,['R'],C,89.785
GOOG,2023-01-04 00:03:17.645678+00:00,T,89.83,1.0,C,89.72,1.0,['R'],C,89.775
GOOG,2023-01-04 00:04:02.912072+00:00,P,89.85,4.0,C,89.72,1.0,['R'],C,89.785
GOOG,2023-01-04 00:04:02.912121+00:00,T,89.83,1.0,C,89.72,1.0,['R'],C,89.775
GOOG,2023-01-04 00:04:02.924768+00:00,T,89.83,1.0,T,89.81,1.0,['R'],C,89.82
GOOG,2023-01-04 00:04:13.859438+00:00,T,89.83,1.0,P,89.81,1.0,['R'],C,89.82
GOOG,2023-01-04 00:04:13.859825+00:00,T,89.83,1.0,P,89.79,1.0,['R'],C,89.81
GOOG,2023-01-04 00:04:13.859895+00:00,T,89.83,1.0,P,89.73,1.0,['R'],C,89.78
GOOG,2023-01-04 00:04:13.861751+00:00,T,89.83,1.0,T,89.75,1.0,['R'],C,89.78999999999999
GOOG,2023-01-04 00:04:15.788882+00:00,T,89.83,1.0,P,89.75,1.0,['R'],C,89.78999999999999
GOOG,2023-01-04 00:04:15.789283+00:00,T,89.83,1.0,C,89.72,1.0,['R'],C,89.775
GOOG,2023-01-04 00:04:26.586465+00:00,P,89.85,4.0,C,89.72,1.0,['R'],C,89.785
